,Weights,Vocab
511,-0.20091315582875746,across
525,0.11823047318410541,action
551,-0.2601524083405609,actor
1167,-0.09498002214822729,ahhh
1670,1.101107817832677,along
1781,0.27762090214096036,always
2596,0.15266329238948065,anyway
3168,0.22528278257268305,around
3442,0.43291241778698597,ass
4363,-0.7138098675318636,bad
4373,0.02589799110155917,baddie
5402,0.30422628114340367,beer
5891,0.7324182507486826,best
5941,-0.15382835569191988,better
7541,0.054973671009472834,boy
7609,-0.5973418937429694,brain
8331,-0.1548121151197208,buddy
9709,0.06574858776939875,case
9770,0.06675744881641657,cast
10313,0.0010574779034434223,chamber
10856,0.1825603063200972,childhood
10960,0.38843008161729853,chock
11617,-0.46112284530094205,clich
12299,-0.08370360293605182,comes
12868,-0.48153134226682065,confident
13401,-0.45528875999165186,convenient
13450,-0.16440726209428794,convincing
13483,0.588633399373645,cool
13526,-0.4841869839408782,cop
13844,-0.2988167382682966,could
13906,0.67007826259274,countless
14490,-0.010033321140379699,cross
15457,0.18558472764562198,day
15938,0.7493305508880748,definitely
16222,-0.07376983792958464,demonic
16969,0.15182107378817802,diamond
18105,-0.15363423518582145,doctor
18888,-0.16319427002762776,drive
19470,-0.13212204159173999,earth
19491,0.5691568396496042,easily
20488,0.07057284398856384,end
20623,-0.0894351635809882,enhance
20642,1.169751498643449,enjoyable
21200,0.47694752105113214,especially
21478,-0.23079092328612563,every
21874,-0.012515596111836346,experience
22451,0.2922624984180016,fans
23321,0.12898086095623473,find
23443,0.2888524194960258,first
23732,0.22938233124744792,flick
24062,-0.085756560268204,fond
24246,-0.10554000232846525,forget
24993,0.08197521651861717,full
25550,0.33952782468693016,gas
26286,0.040986031530998765,give
26532,0.05692660554882998,go
26736,1.6144628877215896,good
27335,0.3071814143610343,griffith
27714,-0.6082046555541205,guilty
27889,-0.09711248308356048,guy
28451,-0.006372083345744107,hard
29169,-0.011587432801222647,help
29181,0.7007065486387808,helps
29924,0.029415754663633158,holes
30021,0.14851114439960195,homeless
31039,-0.5144044152879031,idea
33031,-0.16109137516875868,involving
33715,0.24559278350441058,jeff
35068,-0.09729300590744855,kid
35092,-0.15525264142623815,kids
35128,0.3374599343866207,killer
35170,-0.1802461111919949,kind
35511,-0.9288798433282253,kober
36634,-0.011505495667755836,lead
37007,-0.37112273955613034,less
37312,0.7136019524001015,liked
37315,0.0009938109328365816,likely
37679,0.28902571402072685,loads
37798,-0.006654689913193804,logic
38058,-1.0682774590052988,lou
39359,0.08133896777493424,many
40040,0.2142209713245494,may
40371,-0.025414160645326526,measure
40666,0.4218245058566677,memories
40672,-0.03407782561716985,memory
41367,-0.18464812196367925,minded
41436,-0.14047268436058702,minion
41799,0.04769213154540084,mix
42666,0.008645684279915144,movie
43696,-0.41684514772244363,needed
43703,0.0819976871045739,needless
43923,0.05035765577584825,never
44001,0.00618201452373209,next
44542,-0.17374021220243674,nostalgic
45678,-0.005571363950552283,ordered
47844,0.21450799269179022,person
48134,0.18627416225993612,phillips
48771,0.1337446627218291,played
48832,0.29274769351728247,pleasure
49271,-1.0563591062129165,poor
49274,-1.7804804626139112,poorly
49455,-0.18652089731627727,possessing
49599,-0.41810027686822215,power
50044,0.2948921088405862,pretty
50239,-0.6814321180133335,problem
50776,-0.5061159525569013,psychic
52257,-0.11990748827742377,realized
53201,0.04364414821644753,remembered
53782,-0.31394772296336426,resurrection
53955,-0.24436961227704446,reviewers
53971,-0.2185659395192314,revisit
55234,-0.031386703638516776,run
55459,-0.3020373849089012,sad
55543,-0.21523147288688896,said
55964,-0.0898042548358401,satan
56123,-0.05853721081467193,say
56215,1.0545253157281118,scared
56244,-0.7167124750907823,scary
56276,-0.31875655555973575,scenario
56281,0.19064462246910607,scene
56714,-0.5837047310566243,script
56982,0.23039029093108404,see
57001,0.07497648515652174,seem
57026,-0.822239874456814,segal
57177,0.0015374362168295301,sends
57361,-0.2506216926994533,serial
60020,0.3542663290947686,somewhat
60603,0.27101401119521756,spin
61544,0.071706075826845,steven
61601,0.39750793432562126,still
61798,0.05046521451062228,story
63338,-0.0796963693149098,switch
64308,0.3104445726167928,tells
64962,0.2507890009218355,thought
65055,-0.009485749464887585,thrown
65265,0.1295684637679824,time
65864,0.030655776372456766,touch
66001,0.052590312362807,tracy
66246,-0.37397727800328456,trash
66483,-0.6506365227168392,tries
66677,-0.09665299362038188,truck
67082,0.20214313201524822,twists
69657,0.2701053599404481,viewing
69710,-0.6002713997887442,villain
70669,-1.2877916794610165,weak
71065,-0.28096033390948333,whether
71901,-0.011853046853708438,work
